Starting Fresh Llama-3.1-8B-Instruct 3-Epoch SFT on gpua063.delta.ncsa.illinois.edu at Sat Aug 22 06:15:29 CDT 2026
GPU allocated:
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
{'loss': 0.2931, 'grad_norm': 0.27066272497177124, 'learning_rate': 0.00019383561643835617, 'entropy': 0.2945593804121017, 'num_tokens': 55705600.0, 'mean_token_accuracy': 0.9266649156808853, 'epoch': 0.09}
{'loss': 0.2924, 'grad_norm': 0.2720026671886444, 'learning_rate': 0.00019611872146118721, 'entropy': 0.2940797433257103, 'num_tokens': 56360960.0, 'mean_token_accuracy': 0.9269997358322144, 'epoch': 0.09}
{'loss': 0.2909, 'grad_norm': 0.24511098861694336, 'learning_rate': 0.00019840182648401828, 'entropy': 0.2929168939590454, 'num_tokens': 57016320.0, 'mean_token_accuracy': 0.9273406714200974, 'epoch': 0.09}
{'loss': 0.2918, 'grad_norm': 0.2680165767669678, 'learning_rate': 0.00019999999446117337, 'entropy': 0.29348171055316924, 'num_tokens': 57671680.0, 'mean_token_accuracy': 0.9271572083234787, 'epoch': 0.09}
{'loss': 0.2892, 'grad_norm': 0.4258823096752167, 'learning_rate': 0.000199999895993161, 'entropy': 0.29048483818769455, 'num_tokens': 58327040.0, 'mean_token_accuracy': 0.9274308741092682, 'epoch': 0.09}
{'loss': 0.2898, 'grad_norm': 0.3074840307235718, 'learning_rate': 0.0001999996744402514, 'entropy': 0.291741718351841, 'num_tokens': 58982400.0, 'mean_token_accuracy': 0.9271556794643402, 'epoch': 0.09}
{'loss': 0.2879, 'grad_norm': 0.2537453770637512, 'learning_rate': 0.0001999993298027172, 'entropy': 0.29003074318170546, 'num_tokens': 59637760.0, 'mean_token_accuracy': 0.9279216408729554, 'epoch': 0.09}
{'loss': 0.2868, 'grad_norm': 0.22452810406684875, 'learning_rate': 0.0001999988620809826, 'entropy': 0.287939228117466, 'num_tokens': 60293120.0, 'mean_token_accuracy': 0.9282717525959014, 'epoch': 0.09}
{'loss': 0.2883, 'grad_norm': 0.4184415638446808, 'learning_rate': 0.00019999827127562333, 'entropy': 0.2898165166378021, 'num_tokens': 60948480.0, 'mean_token_accuracy': 0.9278207331895828, 'epoch': 0.1}
{'loss': 0.2882, 'grad_norm': 0.25780659914016724, 'learning_rate': 0.00019999755738736656, 'entropy': 0.29021805226802827, 'num_tokens': 61603840.0, 'mean_token_accuracy': 0.9277825117111206, 'epoch': 0.1}
{'loss': 0.2862, 'grad_norm': 0.2580842971801758, 'learning_rate': 0.00019999672041709103, 'entropy': 0.2877294018864632, 'num_tokens': 62259200.0, 'mean_token_accuracy': 0.9281769573688508, 'epoch': 0.1}
{'loss': 0.2838, 'grad_norm': 0.24969996511936188, 'learning_rate': 0.00019999576036582685, 'entropy': 0.28543822169303895, 'num_tokens': 62914560.0, 'mean_token_accuracy': 0.9287961542606353, 'epoch': 0.1}
{'loss': 0.2836, 'grad_norm': 0.2040492743253708, 'learning_rate': 0.00019999467723475577, 'entropy': 0.2856381356716156, 'num_tokens': 63569920.0, 'mean_token_accuracy': 0.928909295797348, 'epoch': 0.1}
{'loss': 0.2841, 'grad_norm': 0.34612810611724854, 'learning_rate': 0.0001999934710252109, 'entropy': 0.2853804290294647, 'num_tokens': 64225280.0, 'mean_token_accuracy': 0.9288053214550018, 'epoch': 0.1}
{'loss': 0.2826, 'grad_norm': 0.2597144544124603, 'learning_rate': 0.00019999214173867694, 'entropy': 0.28450357615947724, 'num_tokens': 64880640.0, 'mean_token_accuracy': 0.9289291650056839, 'epoch': 0.1}
{'loss': 0.282, 'grad_norm': 0.24295775592327118, 'learning_rate': 0.00019999068937679002, 'entropy': 0.2839443698525429, 'num_tokens': 65536000.0, 'mean_token_accuracy': 0.929346552491188, 'epoch': 0.1}
{'eval_loss': 0.28133222460746765, 'eval_runtime': 78.2178, 'eval_samples_per_second': 63.924, 'eval_steps_per_second': 1.01, 'eval_entropy': 0.2845029717759241, 'eval_num_tokens': 65536000.0, 'eval_mean_token_accuracy': 0.9294272004803524, 'epoch': 0.1}
